farmer_id,region,age,gender,education_level,years_farming,acreage_ha,soil_class,coop_member,mpesa_transactions_per_month,mpesa_consistency_score,mpesa_savings_frequency,mpesa_avg_savings_balance,mpesa_bill_payment_score,mpesa_income_regularity,mpesa_business_contacts,water_access_index,rainfall_anomaly,ndvi_mean,expected_yield_t_ha,expected_income_usd,expected_income_kes,advisory_interactions,pd_latent,default_12m,risk_tier,credit_score,income_per_hectare,mpesa_engagement_score,age_group
11499,Coast,32,Female,None,14,2.2182602947324006,2,0,20.0,0.5069609280514908,5.0,7252.005820031192,0.6078419807085887,0.6491648489040622,7.0,0.6201946875658099,-0.655076568608956,0.48811994256584773,3.577145627718283,2562.4358288205426,294680.1203143624,3.0,0.36949269159429327,0,D,685.0,1155.155612218025,10.139218561029818,Middle
6475,Eastern,29,Male,Secondary,9,4.219233403781392,2,0,13.0,0.7406727916078476,2.0,6034.590249671394,0.40441631906319836,0.6144361356929068,6.0,0.2956599880755503,-0.5151857478184066,0.41348041642439815,3.9806682559320534,4812.16019104646,553398.4219703429,1.0,0.43763829884689986,1,E,628.0,1140.529506315927,9.628746290902019,Young
13167,Central,57,Female,Primary,23,2.091670541061751,2,0,11.0,0.6514549138074566,4.0,669.7019388518686,0.8752503088948262,0.5587536895444127,6.0,0.43129288638814495,-2.1449628733609765,0.32395564947341277,3.228990762739107,1808.0410936157557,207924.72576581192,5.0,0.3989340696262259,0,D,660.0,864.4005153402302,7.166004051882022,Senior
862,Rift Valley,49,Male,Primary,10,1.6995539436510148,2,0,10.0,0.9426314544315091,0.0,8389.115135557528,0.8320943822088103,0.8327094450363447,12.0,0.13985300538927567,-1.426902970444311,0.30386851597975156,3.6183608813447345,1772.604538730156,203849.52195396795,3.0,0.4490230952902767,0,E,618.0,1042.9822162173991,9.42631454431509,Senior
5970,Nyanza,31,Male,None,13,4.610949112161059,1,0,18.0,0.4636574277273266,5.0,1595.7845378637173,0.730708938802452,0.8786986025695123,5.0,0.2796595769574249,0.8848961949673241,0.48726772070473023,4.5135751815975045,6703.871817946619,770945.2590638611,1.0,0.3492031604605464,0,D,703.0,1453.9027985074963,8.345833699091878,Middle
6706,Eastern,60,Female,Primary,38,1.3755710215510413,3,0,15.0,0.9413307357892929,4.0,2765.450637265199,0.6466576428252225,0.8365315533522513,11.0,0.09484856663001785,-1.9161413423984934,0.4667229819119596,2.4910912406985286,1065.5299019731196,122535.93872690876,1.0,0.3737594268431975,0,D,682.0,774.6091516028514,14.119961036839394,Senior
3017,Rift Valley,49,Male,Secondary,18,2.330843777294945,2,1,14.0,0.7169485477822205,3.0,2943.336706212557,0.5048222541061794,0.6858097271170078,3.0,0.836382051688512,1.2691790828933178,0.5235593601464857,4.905525451475854,3384.4995083101967,389217.4434556726,4.0,0.34996164964663523,0,D,702.0,1452.049056774654,10.037279668951086,Senior
3781,Rift Valley,48,Female,Secondary,3,3.152484146332309,3,0,9.0,0.904810932202336,4.0,9019.746264723197,0.6478995337808306,0.8764978073092617,5.0,0.4783387001870327,-0.6754398381569647,0.3642200013867648,2.3142189203556605,2470.3930132127075,284095.19651946134,0.0,0.30747394519911225,1,D,738.0,783.6337626271124,8.143298389821023,Senior
3898,Rift Valley,61,Male,Primary,20,3.828378642833758,2,0,13.0,0.9017326277928114,2.0,6633.13831605827,0.6903604982387258,0.89636449418212,5.0,0.3735399838136313,0.025638755381529366,0.4801796458353809,2.726269168078958,3303.00552304237,379845.63514987257,1.0,0.3944946233280843,0,D,664.0,862.7687674585636,11.722524161306549,Elderly
2250,Central,34,Male,Secondary,16,5.651519885874294,2,0,18.0,0.701046624681223,4.0,3130.2811271235983,0.8483300962656283,0.73202955173323,9.0,0.9718198410588509,0.6640052249214793,0.7250029183749717,4.378893758945253,7591.000044402075,872965.0051062386,1.0,0.3286759391799712,0,D,720.0,1343.1785073207332,12.618839244262015,Middle
